,Response,Aspects
0,Session Limitations,"['awareness of limitations', 'session limits', 'short-term sessions', 'long-term solutions', 'long-term resources', ""let's talk drop-in sessions"", 'zoom meetings', 'expansion', 'limitations', 'peer experiences']"
1,Mental Health Services,"['mental health employee', 'psychiatric services', 'mental health services', 'diagnostics', 'mental health hotline', 'psychiatry department', 'in-person mental health services']"
2,Wellness Programs,"['wellness information services', 'self-care emphasis', 'wellness services', 'mindfulness programs', 'wellness events', 'attention and awareness', 'well-woman services', 'daily health check', 'wellness meetings and events', 'wellness coaches', 'trauma awareness', 'wellness awareness', 'awareness events', 'wellness activities', 'wellness chat', 'de-stress activities']"
3,Campus Wellness Programs,"['student support team', 'academic stress', 'program awareness', 'student health center', 'student health and wellness program', 'student-run services', 'effectiveness of programs', 'academic support', 'campus environment', 'understanding student needs', 'student wellness center', 'student engagement', 'university acknowledgment', 'off-campus health services', 'streamlining classroom help', 'university resources', 'online student services', 'campus culture', 'education programs']"
4,Therapy Options,"['long term therapy', 'long-term therapy options', 'one-on-one therapy', 'therapy dogs', 'therapist appointments', 'therapist specialization', 'individual therapy', 'off-campus therapist', 'limitations of on-campus therapists', 'dog therapy', 'therapist availability', 'diagnosis practices', 'long-term therapy', 'long-term care', 'relationship with therapist', 'pet therapy', 'animal interactions', 'private therapy', 'triage']"
5,Resource Accessibility,"['awareness of professional resources', 'resource information', 'understanding help process', 'range of services', 'on-site support', 'variety of services', 'peer support', 'website accessibility', 'promotion of resources', 'website and app', 'accessibility', 'external connections', 'in-network resources', 'support groups', 'provider availability', 'special support']"
6,Crisis hotline services,"['24-hour hotline', '24 hour service', 'crisis line', 'phone hotlines', 'hotline', '24-hour counseling service', 'on-call talks', 'pal hotline', '24-hour crisis hotline', '24 hour hotline', '24 hour line']"
7,Mental Health Professionals,"['in-office psychiatrist', 'psychologist appointments', 'primary physician', 'professional victim advocates', 'psychologist availability', 'psychologists', 'nurses', 'sports therapists', 'psychiatric nurse practitioner', 'nutritionist']"
8,Mental Health Support,"['cost of mental health resources', 'mental health accessibility', 'mental health days', 'sexual health supplies', 'mental health union', 'mental health center', 'mental health connection', 'mental health communication', 'mental health meetings', 'promotion of mental health services', 'mental health resources', 'awareness of mental health issues', 'mental health training', 'checking in on students’ mental health', 'clubs prioritizing mental health', 'mental health awareness']"
9,Counseling Services Available,"['virtual counseling service', 'peer counseling services', 'cougar counseling', 'counselor qualifications', 'family dynamics', 'individual counseling', 'holistic approaches', 'addiction counseling', 'department specific counseling', 'off-campus counseling', 'in-person counseling', 'zoom counseling', 'professional counseling', 'barriers to counseling', 'drop-in counseling', 'availability of counseling sessions', 'in-person counseling services', 'group counseling', 'substance abuse counseling', 'diversity of counselors', 'availability of individual counseling', 'peer counseling']"
10,Staff Support Services,"['coaching services', 'understanding staff', 'staffing', 'professionalism', 'privacy', 'success coaching', 'administration response', 'resource awareness', 'training', 'staff interaction', 'attention to rowing team']"
11,Service Accessibility,"['services availability', 'availability', 'waitlists', 'appointment system', 'appointment limits', 'availability of services', 'indirect services', 'in-person options', 'waiting list', 'waitlist', 'wait times']"
