sample_id,text,merged_entities,gold_struct,candidates_final
0,i think there needs to be an expansion. one quarter of counseling is not enough to develop a relationship with a therapist. ,"[{'start': 0, 'end': 39, 'aspects': ['Service Availability'], 'sentiments': ['Negative'], 'raw_labels': ['Service Availability - Suggestion', 'Service Availability - Suggestion']}, {'start': 40, 'end': 124, 'aspects': ['Service Availability'], 'sentiments': ['Negative'], 'raw_labels': ['Counseling Service - Limitation', 'Service Availability - Limitation', 'Service Availability - Negative']}]","{'aspect_set': ['Service Availability'], 'by_aspect': {'Service Availability': {'label': 'Negative', 'evidence': [{'span': [0, 39]}, {'span': [40, 124]}]}}}","[""Service Availability""]"
2,i have looked at group counseling but they are still remote. i am tired of remote and don't want it simple because it's remote. if it were in person i would definitely go to group therapy.,"[{'start': 61, 'end': 188, 'aspects': ['Therapy Service'], 'sentiments': ['Negative'], 'raw_label': 'Therapy Service - Negative'}]","{'aspect_set': ['Therapy Service'], 'by_aspect': {'Therapy Service': {'label': 'Negative', 'evidence': [{'span': [61, 188]}]}}}","[""Therapy Service""]"
3,"not much in my opinion i’d working well. i think the diversity needs to increase for the counselors available, there really needs to be an increase in counselors too since scheduling is so limited and it could take weeks to get an appointment.","[{'start': 40, 'end': 110, 'aspects': ['Counseling Service'], 'sentiments': ['Negative'], 'raw_labels': ['Counseling Service - Suggestion', 'Counseling Service - Suggestion', 'Counseling Service - Positive']}, {'start': 111, 'end': 243, 'aspects': ['Service Availability'], 'sentiments': ['Negative'], 'raw_labels': ['Service Availability - Suggestion', 'Service Availability - Suggestion']}]","{'aspect_set': ['Counseling Service', 'Service Availability'], 'by_aspect': {'Counseling Service': {'label': 'Negative', 'evidence': [{'span': [40, 110]}]}, 'Service Availability': {'label': 'Negative', 'evidence': [{'span': [111, 243]}]}}}","[""Counseling Service"", ""Service Availability""]"
4,"the group sessions for stress relief and meditation has worked great for me.
i believe more individual telehealth options would be great","[{'start': 0, 'end': 76, 'aspects': ['Wellness Service'], 'sentiments': ['Positive'], 'raw_labels': ['Therapy Service - Positive', 'Wellness Service - Positive', 'Wellness Service - Positive']}, {'start': 77, 'end': 136, 'aspects': [], 'sentiments': [], 'raw_labels': ['General - Suggestion', 'Counseling Service - Suggestion', 'Service Availability - Negative']}]","{'aspect_set': ['Wellness Service'], 'by_aspect': {'Wellness Service': {'label': 'Positive', 'evidence': [{'span': [0, 76]}]}}}","[""Wellness Service""]"
5,"i am a fully online student and i wish i was able to use more telehealth services
","[{'start': 0, 'end': 81, 'aspects': ['General'], 'sentiments': ['Negative'], 'raw_label': 'General - Suggestion'}]","{'aspect_set': ['General'], 'by_aspect': {'General': {'label': 'Negative', 'evidence': [{'span': [0, 81]}]}}}","[""General""]"
6,"access to counselors is simple (from my experience), but more counselors are needed for general outreach before students are in crisis.","[{'start': 0, 'end': 51, 'aspects': ['Service Availability'], 'sentiments': ['Positive'], 'raw_labels': ['Service Availability - Positive', 'Service Availability - Positive']}, {'start': 53, 'end': 135, 'aspects': [], 'sentiments': [], 'raw_labels': ['Counseling Service - Suggestion', 'Service Availability - Suggestion']}]","{'aspect_set': ['Service Availability'], 'by_aspect': {'Service Availability': {'label': 'Positive', 'evidence': [{'span': [0, 51]}]}}}","[""Service Availability""]"
7,the counseling center is just burdened with the amount of students that need help. it's simply the volume of students that need help. the services aren't even that bad if they were just able to reach more people. ,"[{'start': 0, 'end': 82, 'aspects': ['On-campus Service'], 'sentiments': ['Negative'], 'raw_labels': ['Counseling Service - Negative', 'On-campus Service - Limitation', 'On-campus Service - Negative']}, {'start': 82, 'end': 133, 'aspects': [], 'sentiments': [], 'raw_labels': ['General - Negative', 'Service Availability - Negative']}, {'start': 133, 'end': 167, 'aspects': [], 'sentiments': [], 'raw_labels': ['Counseling Service - Positive', 'On-campus Service - Positive']}, {'start': 168, 'end': 213, 'aspects': ['Service Availability'], 'sentiments': ['Negative'], 'raw_labels': ['Service Availability - Limitation', 'Service Availability - Negative']}]","{'aspect_set': ['On-campus Service', 'Service Availability'], 'by_aspect': {'On-campus Service': {'label': 'Negative', 'evidence': [{'span': [0, 82]}]}, 'Service Availability': {'label': 'Negative', 'evidence': [{'span': [168, 213]}]}}}","[""On-campus Service"", ""Service Availability""]"
8,"i believe that for many, the addition of having 6 1 hour therapy sessions is helpful for short term help","[{'start': 0, 'end': 104, 'aspects': ['Therapy Service'], 'sentiments': ['Positive'], 'raw_labels': ['Therapy Service - Positive', 'Therapy Service - Positive']}]","{'aspect_set': ['Therapy Service'], 'by_aspect': {'Therapy Service': {'label': 'Positive', 'evidence': [{'span': [0, 104]}]}}}","[""Therapy Service""]"
9,"many students base assumptions on all staff based off of how we interact with the more common employees. everyone who works at the front desk is very polite and helpful. but me and many of my (typically female-identifying) peers have felt unsafe, judged, and nervous around and with the nurses in bishop wellness center. they tell you rudely all of the things you could have done to avoid this problem rather than assisting us with the problem now. ","[{'start': 105, 'end': 169, 'aspects': ['General'], 'sentiments': ['Positive'], 'raw_labels': ['General - Positive', 'On-campus Service - Positive', 'General - Positive']}, {'start': 170, 'end': 321, 'aspects': ['Wellness Service'], 'sentiments': ['Negative'], 'raw_labels': ['Wellness Service - Negative', 'Wellness Service - Negative']}]","{'aspect_set': ['General', 'Wellness Service'], 'by_aspect': {'General': {'label': 'Positive', 'evidence': [{'span': [105, 169]}]}, 'Wellness Service': {'label': 'Negative', 'evidence': [{'span': [170, 321]}]}}}","[""General"", ""Wellness Service""]"
10,i have used the resources at the wellness center for my mental health even before the pandemic and i think it needs help especially sense what happened last semester ,"[{'start': 99, 'end': 165, 'aspects': ['General'], 'sentiments': ['Negative'], 'raw_label': 'General - Suggestion'}]","{'aspect_set': ['General'], 'by_aspect': {'General': {'label': 'Negative', 'evidence': [{'span': [99, 165]}]}}}","[""General""]"
